prediction_file,ground_truth_file,rmse,mae,delta1,delta2,delta3
img_0001.png,scroll_down\2021-10-16-125159_0\1.png,112.7505111694336,88.3852310180664,0.17287952846463484,0.232583381253594,0.3057684013801035
img_0002.png,scroll_down\2021-10-16-125159_0\2.png,112.35133361816406,87.93939971923828,0.17467754937525193,0.2336831346807163,0.3074185236367824
img_0003.png,scroll_down\2021-10-16-125159_0\3.png,113.21025848388672,88.80873107910156,0.17286613470069712,0.23310119836377255,0.30593564556086883
img_0004.png,scroll_down\2021-10-16-125159_0\4.png,113.21994018554688,88.87728881835938,0.17576052479815454,0.2323781718569781,0.3050028835063437
img_0005.png,scroll_down\2021-10-16-125159_0\5.png,112.56380462646484,88.18406677246094,0.17365798430829585,0.23288046613591784,0.30630192107995846
img_0006.png,scroll_down\2021-10-16-125159_0\6.png,112.65791320800781,88.35747528076172,0.17417276783160784,0.23049891322999486,0.3047353143053252
img_0007.png,scroll_down\2021-10-16-125159_0\7.png,113.40143585205078,89.22762298583984,0.17178479565590168,0.23104815661617606,0.30420477279222635
img_0008.png,scroll_down\2021-10-16-125159_0\8.png,113.316162109375,89.05158233642578,0.17151813382302306,0.23092290255939402,0.30376664179960977
img_0009.png,scroll_down\2021-10-16-125159_0\9.png,113.75452423095703,89.57952117919922,0.17012120084711807,0.22837130101310743,0.3018573636311602
img_0010.png,scroll_down\2021-10-16-125159_0\10.png,113.35296630859375,89.05137634277344,0.17145178377140238,0.22956751417282253,0.3031373475347878
img_0011.png,scroll_down\2021-10-16-125159_0\11.png,113.46057891845703,89.17082977294922,0.17152336368321594,0.22911656072839717,0.3026684991124091
img_0012.png,scroll_down\2021-10-16-125159_0\12.png,113.77786254882812,89.67729949951172,0.17018003320167152,0.22879815673478734,0.30121930276489783
img_0013.png,scroll_down\2021-10-16-125159_0\13.png,110.44654846191406,86.39418029785156,0.1545650559744117,0.21566212588530959,0.2986920265021704
img_0014.png,scroll_down\2021-10-16-125159_0\14.png,111.54956817626953,87.40200805664062,0.15390107379483664,0.21293480123372172,0.29297678204249483
img_0015.png,scroll_down\2021-10-16-125159_0\15.png,111.53367614746094,87.49391174316406,0.15559255659730162,0.2182104676423508,0.2970250686027898
img_0016.png,scroll_down\2021-10-16-125159_0\16.png,109.75041198730469,85.58678436279297,0.15968577052547497,0.22346593826667427,0.301545472699264
img_0017.png,scroll_down\2021-10-16-125159_0\17.png,109.56201171875,85.51376342773438,0.166500285225328,0.22619438106103823,0.30355818596691386
img_0018.png,scroll_down\2021-10-16-125159_0\18.png,99.45332336425781,86.29569244384766,0.16903993372943327,0.2738766853290676,0.39434200754113347
img_0019.png,scroll_down\2021-10-16-125159_0\19.png,95.05683135986328,79.80030822753906,0.19011011768738573,0.28264968007312613,0.39153193555758686
img_0020.png,scroll_down\2021-10-16-125159_0\20.png,93.52485656738281,78.6067886352539,0.19451304819552306,0.2819209684787574,0.38975059958885333
img_0021.png,scroll_down\2021-10-16-125159_0\21.png,94.61172485351562,79.73688507080078,0.1985163162128002,0.28588920487188324,0.3916214236470183
img_0022.png,scroll_down\2021-10-16-125159_0\22.png,93.62403869628906,79.2538070678711,0.20876117680992212,0.2988967406980098,0.4092659359676954
img_0023.png,scroll_down\2021-10-16-125159_0\23.png,91.3252182006836,76.48286437988281,0.20151300337973305,0.3018094460674801,0.4110457123217048
img_0024.png,scroll_down\2021-10-16-125159_0\24.png,92.57125091552734,75.28450012207031,0.2041997069470781,0.31145133023042004,0.41243607424007356
