gesture,rmse,mae,delta1,delta2,delta3
1.png,92.09973907470705,72.97602844238281,0.2115763369752731,0.3416726566992524,0.4428119608970672
22.png,65.9051742553711,56.59996795654297,0.233292471877704,0.4202877127199307,0.5674358234785117
23.png,90.98938751220705,70.49176788330078,0.2230158389184854,0.3493154608466517,0.4492574611903534
26.png,103.26110076904295,81.22076416015625,0.1207595976481438,0.2078950023057413,0.2935172642379525
28.png,93.35031127929688,76.4946060180664,0.1140896949853524,0.2602604974438509,0.3913241714055948
35.png,86.38362884521484,69.53821563720703,0.11048373263194,0.2975834810452284,0.444021956658471
39.png,102.25914764404295,82.41010284423828,0.1419592030360531,0.2865778276119832,0.3832190500833765
6.png,84.72840118408203,70.02641296386719,0.2144726305553966,0.3480094949379397,0.456085912028828
7.png,70.85186004638672,58.29341506958008,0.2360245784509859,0.4252357816519005,0.576411117462132
8.png,80.40188598632812,65.018310546875,0.2264181395615746,0.3590575863652014,0.4676847813611844
